Pot Structure mpid RMS imagmodes(pot) imagmodes(dft) 
Fig_2_combined_M_1000 24 mp-165 0.8309129073877721 False False
Fig_2_combined_M_1000 25 mp-168 0.5214759860459652 False False
Fig_2_combined_M_1000 28 mp-571520 0.618005009932021 False False
Fig_2_combined_M_1000 32 mp-971661 0.49726430288554574 False False
Fig_2_combined_M_1000 33 mp-971662 0.34249260957279926 False False
Fig_2_combined_M_1000 34 mp-999200 1.0140564854111196 True False
Fig_2_combined_M_3000 5 mp-1072544 0.44311296873783124 False False
Fig_2_combined_M_3000 6 mp-1079297 0.32520752453888735 False False
Fig_2_combined_M_3000 9 mp-1095269 0.3768063364002171 False False
Fig_2_combined_M_3000 15 mp-1200830 0.3155821333864138 False False
Fig_2_combined_M_3000 18 mp-1203790 0.2041152933720183 False False
Fig_2_combined_M_3000 22 mp-149 0.4646091237722253 False False
Fig_2_combined_M_3000 23 mp-16220 0.39777675419225966 True False
Fig_2_combined_M_3000 24 mp-165 0.26485169806993625 False False
Fig_2_combined_M_3000 25 mp-168 0.32718243074032927 False False
Fig_2_combined_M_3000 28 mp-571520 0.44100854351343255 False False
Fig_2_combined_M_3000 32 mp-971661 0.5209914945648576 False False
Fig_2_combined_M_3000 33 mp-971662 0.23948817949635928 False False
Fig_2_combined_M_3000 34 mp-999200 0.6580501094721323 True False
Fig_2_combined_M_5000 5 mp-1072544 0.33961455386034545 False False
Fig_2_combined_M_5000 6 mp-1079297 0.29416186672837286 False False
Fig_2_combined_M_5000 9 mp-1095269 0.31065528417306953 False False
Fig_2_combined_M_5000 15 mp-1200830 0.1849280041518588 False False
Fig_2_combined_M_5000 18 mp-1203790 0.1494744919693964 False False
Fig_2_combined_M_5000 22 mp-149 0.3349161877987683 False False
Fig_2_combined_M_5000 23 mp-16220 0.1885509175724889 False False
Fig_2_combined_M_5000 24 mp-165 0.27009882377309513 False False
Fig_2_combined_M_5000 25 mp-168 0.2656811732040985 False False
Fig_2_combined_M_5000 28 mp-571520 0.42689899830241823 False False
Fig_2_combined_M_5000 32 mp-971661 0.34428083649022656 False False
Fig_2_combined_M_5000 33 mp-971662 0.18640155794011343 False False
Fig_2_combined_M_5000 34 mp-999200 0.3193157385773117 False False
Fig_2_combined_M_7000 5 mp-1072544 0.27637623697655006 False False
Fig_2_combined_M_7000 6 mp-1079297 0.23159337321289145 False False
Fig_2_combined_M_7000 9 mp-1095269 0.2839748401334844 False False
Fig_2_combined_M_7000 15 mp-1200830 0.13876088853227894 False False
Fig_2_combined_M_7000 18 mp-1203790 0.12132973009433665 False False
Fig_2_combined_M_7000 22 mp-149 0.28900967997852134 False False
Fig_2_combined_M_7000 23 mp-16220 0.15821678977332626 False False
